,correlationId_,message_exportTimeStamp_,message_companyId_,message_id_,message_externalId_,message_customerReference_,message_vessel_imo_,message_vessel_name_,message_company_id_,message_company_displayName_,message_laycan_start_,message_laycan_end_,message_source_,message_editable_,message_cargoLines__cargoLineId_,message_cargoLines__receiver_,message_cargoLines__customerReference_,message_cargoLines__material_materialId_,message_cargoLines__material_name_,message_cargoLines__quantity_expected_,message_cargoLines__quantity_confirmed_,message_cargoLines__loadTerminalCall_terminalCallId_,message_cargoLines__loadTerminalCall_eta_calculated_,message_cargoLines__loadTerminalCall_eta_expected_,message_cargoLines__loadTerminalCall_eta_confirmed_,message_cargoLines__loadTerminalCall_etb_calculated_,message_cargoLines__loadTerminalCall_etb_expected_,message_cargoLines__loadTerminalCall_etb_confirmed_,message_cargoLines__loadTerminalCall_etd_calculated_,message_cargoLines__loadTerminalCall_etd_expected_,message_cargoLines__loadTerminalCall_etd_confirmed_,message_cargoLines__loadTerminalCall_action_,message_cargoLines__loadTerminalCall_port_portId_,message_cargoLines__loadTerminalCall_port_companyPortName_,message_cargoLines__loadTerminalCall_port_name_,message_cargoLines__loadTerminalCall_port_terminalId_,message_cargoLines__loadTerminalCall_port_timezone_,message_cargoLines__loadTerminalCall_port_position_lat_,message_cargoLines__loadTerminalCall_port_position_lon_,message_cargoLines__loadTerminalCall_confirmed_,message_cargoLines__dischargeTerminalCall_terminalCallId_,message_cargoLines__dischargeTerminalCall_eta_calculated_,message_cargoLines__dischargeTerminalCall_eta_expected_,message_cargoLines__dischargeTerminalCall_eta_confirmed_,message_cargoLines__dischargeTerminalCall_etb_calculated_,message_cargoLines__dischargeTerminalCall_etb_expected_,message_cargoLines__dischargeTerminalCall_etb_confirmed_,message_cargoLines__dischargeTerminalCall_etd_calculated_,message_cargoLines__dischargeTerminalCall_etd_expected_,message_cargoLines__dischargeTerminalCall_etd_confirmed_,message_cargoLines__dischargeTerminalCall_action_,message_cargoLines__dischargeTerminalCall_port_portId_,message_cargoLines__dischargeTerminalCall_port_companyPortName_,message_cargoLines__dischargeTerminalCall_port_name_,message_cargoLines__dischargeTerminalCall_port_terminalId_,message_cargoLines__dischargeTerminalCall_port_timezone_,message_cargoLines__dischargeTerminalCall_port_position_lat_,message_cargoLines__dischargeTerminalCall_port_position_lon_,message_cargoLines__dischargeTerminalCall_confirmed_,message_cargoLines__permission_,message_cargoLines__delivered_,message_cargoLines__outboundDelivered_,message_modified_,message_modifiedBy_,message_permission_,message_delivered_,message_outboundDelivered_,message_demurrage_,message_counterpart_,message_vessel_,message_demurrage_rate_,message_demurrage_days_
0,00e4b102-368e-49b2-a1d0-94350057ce9e,2020-06-18T03:00:02.589172Z,blueenergy,00e4b102-368e-49b2-a1d0-94350057ce9e,,2019/05/08,9296248,Ocean Lion,blueenergy,Blue Energy,2019-04-24T00:00:00+08:00,2019-05-03T23:59:59+08:00,WEB,True,73d419a8-c244-421d-a9da-b62633399c58,blueenergy,2019/05/08,01E2611A-51AE-47C6-811A-EB9181BC38D5,COAL,75000.0,75000.0,d3c9db39-88fd-4159-9277-1ecdc365e3df,2019-04-28T12:00:00+08:00,,2019-04-28T12:00:00+08:00,2019-04-28T12:00:00+08:00,,2019-04-28T12:00:00+08:00,2019-05-03T12:00:00+08:00,,2019-05-03T12:00:00+08:00,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,True,65924119-d06c-4c20-ae36-36a1b3155666,2019-05-08T12:00:00+08:00,,2019-05-08T12:00:00+08:00,2019-05-08T12:00:00+08:00,,2019-05-08T12:00:00+08:00,2019-05-13T06:00:00+08:00,,2019-05-13T06:00:00+08:00,DISCHARGE,PHMNL,,Manila,3f3bd91c-4b3f-4163-8546-0016e835307e,Asia/Manila,14.5995124,120.9842195,True,EDIT,True,True,2019-05-28T06:50:50.173347Z,C***o S*****t,EDIT,True,True,,,,,
1,01810429-12ea-4c96-a593-26a3261ebbbf,2020-06-18T03:00:02.55573Z,blueenergy,01810429-12ea-4c96-a593-26a3261ebbbf,,2018/06/08,,,blueenergy,Blue Energy,2018-05-22T00:00:00+08:00,2018-05-31T23:59:00+08:00,WEB,True,4918e43b-1411-4ac4-a215-0def2585ed64,blueenergy,2018/06/08,8A169A34-8D5E-48F5-9737-1AF84CE2C6B7,COAL LOW SULFUR,50000.0,50000.0,4abcd804-a18b-4230-9da8-7563169d43fd,2018-05-26T12:00:00+08:00,2018-05-26T12:00:00+08:00,,2018-05-26T12:00:00+08:00,2018-05-26T12:00:00+08:00,,2018-06-01T12:00:00+08:00,2018-06-01T12:00:00+08:00,2018-06-01T12:00:00+08:00,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,True,417bc39c-6319-4bce-a693-b936a8c5a628,2018-06-08T12:00:00+08:00,2018-06-08T12:00:00+08:00,,2018-06-08T12:00:00+08:00,2018-06-08T12:00:00+08:00,,2018-06-14T01:05:27+08:00,2018-06-14T01:05:27+08:00,2018-06-14T01:05:27+08:00,DISCHARGE,PHMNL,,Manila,3f3bd91c-4b3f-4163-8546-0016e835307e,Asia/Manila,14.5995124,120.9842195,True,EDIT,True,True,2018-07-08T20:15:15.888Z,S***n *,EDIT,True,True,,,,,
2,01fd396b-4d1b-428b-b95b-2770382b5cda,2020-06-18T03:00:02.578458Z,blueenergy,01fd396b-4d1b-428b-b95b-2770382b5cda,,2019/01/18,,,blueenergy,Blue Energy,2018-12-31T00:00:00+08:00,2019-01-09T23:59:00+08:00,WEB,True,68445ce6-0735-45ee-bf83-953a67b6a3cd,blueenergy,2019/01/18,8A169A34-8D5E-48F5-9737-1AF84CE2C6B7,COAL LOW SULFUR,50000.0,50000.0,f9e2c751-a548-4d24-9df3-b26b3694408f,2019-01-04T06:00:00+08:00,2019-01-04T06:00:00+08:00,2019-01-04T06:00:00+08:00,2019-01-04T06:00:00+08:00,2019-01-04T06:00:00+08:00,2019-01-04T06:00:00+08:00,2019-01-11T12:00:00+08:00,2019-01-11T12:00:00+08:00,2019-01-11T12:00:00+08:00,LOAD,IDSRI,,Samarinda,60c90dcd-4428-4982-abc3-0e1701b3e9a1,Asia/Makassar,-0.676663950351488,117.32276352233713,True,b2ff9274-d874-4c32-bca0-52c75e87b8d4,2019-01-18T12:00:00+08:00,2019-01-18T12:00:00+08:00,2019-01-18T12:00:00+08:00,2019-01-18T12:00:00+08:00,2019-01-18T12:00:00+08:00,2019-01-18T12:00:00+08:00,2019-01-24T01:05:27+08:00,2019-01-24T01:05:27+08:00,2019-01-24T01:05:27+08:00,DISCHARGE,PHBTG,,Batangas,7be258eb-92e5-455d-8164-d38b77fd97ba,Asia/Manila,13.75,121.05,True,EDIT,True,True,2019-02-19T13:19:46.927Z,D****l M*******n,EDIT,True,True,,,,,
3,020405ba-a360-415f-a680-19e9fc61c5b8,2020-06-18T03:00:02.621928Z,blueenergy,020405ba-a360-415f-a680-19e9fc61c5b8,,2018/12/31,,,blueenergy,Blue Energy,2018-12-14T00:00:00+08:00,2018-12-23T23:59:00+08:00,WEB,True,fcccebd1-c604-4a28-ae74-08db04cfdcca,blueenergy,2018/12/31,01E2611A-51AE-47C6-811A-EB9181BC38D5,COAL,50000.0,50000.0,fbc10e11-0302-4a1d-a26f-bb6c16157377,2018-12-18T22:40:00+08:00,2018-12-18T22:40:00+08:00,2018-12-18T22:40:00+08:00,2018-12-18T22:40:00+08:00,2018-12-18T22:40:00+08:00,2018-12-18T22:40:00+08:00,2018-12-25T12:00:00+08:00,2018-12-25T12:00:00+08:00,2018-12-25T12:00:00+08:00,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,True,48a19283-da82-4349-9f69-0feeb85e17fc,2018-12-31T12:00:00+08:00,2018-12-31T12:00:00+08:00,2018-12-31T12:00:00+08:00,2018-12-31T12:00:00+08:00,2018-12-31T12:00:00+08:00,2018-12-31T12:00:00+08:00,2019-01-06T01:05:27+08:00,2019-01-06T01:05:27+08:00,2019-01-06T01:05:27+08:00,DISCHARGE,PHMNL,,Manila,3f3bd91c-4b3f-4163-8546-0016e835307e,Asia/Manila,14.5995124,120.9842195,True,EDIT,True,True,2019-01-10T18:44:00.466Z,A********r S*****y,EDIT,True,True,,,,,
4,02b1c2ba-cbab-4033-ab49-6b9dcf6545d0,2020-06-18T03:00:02.667618Z,blueenergy,02b1c2ba-cbab-4033-ab49-6b9dcf6545d0,,2018/03/31,9308728,Bakkedal,blueenergy,Blue Energy,2018-03-15T00:00:00+08:00,2018-03-24T23:59:00+08:00,WEB,True,635ac3aa-6bac-47ab-83cb-f22c2b0c6f96,blueenergy,2018/03/31,01E2611A-51AE-47C6-811A-EB9181BC38D5,COAL,50000.0,50000.0,9bb03b6a-c7cf-4361-8041-8ce5c7794905,2018-03-19T06:00:00+08:00,2018-03-19T06:00:00+08:00,,2018-03-19T06:00:00+08:00,2018-03-19T06:00:00+08:00,,2018-03-26T12:00:00+08:00,2018-03-26T12:00:00+08:00,2018-03-26T12:00:00+08:00,LOAD,IDSRI,,Samarinda,60c90dcd-4428-4982-abc3-0e1701b3e9a1,Asia/Makassar,-0.676663950351488,117.32276352233713,True,299a5619-cbee-4d74-ab3b-5db36a7cb1d7,2018-03-31T12:00:00+08:00,2018-03-31T12:00:00+08:00,,2018-03-31T12:00:00+08:00,2018-03-31T12:00:00+08:00,,2018-04-07T01:20:00+08:00,2018-04-07T01:20:00+08:00,2018-04-07T01:20:00+08:00,DISCHARGE,PHMNL,,Manila,3f3bd91c-4b3f-4163-8546-0016e835307e,Asia/Manila,14.5995124,120.9842195,True,EDIT,True,True,2018-05-10T08:38:25.19Z,L*****e C********e,EDIT,True,True,,,,,
5,0598f2c3-a676-4455-9eed-f2c8d867f537,2020-06-18T03:00:02.616435Z,blueenergy,0598f2c3-a676-4455-9eed-f2c8d867f537,,2020/05/23,,,blueenergy,Blue Energy,2020-05-07T00:00:00+08:00,2020-05-16T23:59:59+08:00,WEB,True,6bbc276d-5430-46e5-afb5-f6ce5fb6ea09,blueenergy,2020/05/23,01E2611A-51AE-47C6-811A-EB9181BC38D5,COAL,50000.0,,ee130976-5076-44c8-a4f9-07c82507cec6,2020-05-11T12:00:00+08:00,2020-05-01T12:00:00+08:00,,2020-05-11T12:00:00+08:00,2020-05-01T12:00:00+08:00,,2020-05-13T12:00:00+08:00,2020-05-03T12:00:00+08:00,,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,False,da7c223c-2a33-4854-89cd-8f305ecb3610,2020-05-23T12:00:00+08:00,2020-05-08T12:00:00+08:00,,2020-05-23T12:00:00+08:00,2020-05-12T12:00:00+08:00,,2020-05-25T12:00:00+08:00,2020-05-14T12:00:00+08:00,,DISCHARGE,PHBTG,,Batangas,7be258eb-92e5-455d-8164-d38b77fd97ba,Asia/Manila,13.75,121.05,False,EDIT,False,False,2020-05-06T11:11:34.885233Z,D****l M*******n,EDIT,False,False,,,,,
6,05b9dab6-3744-4388-a64c-86135aee8048,2020-06-18T03:00:02.63665Z,blueenergy,05b9dab6-3744-4388-a64c-86135aee8048,,2018/10/08,,,blueenergy,Blue Energy,2018-09-21T00:00:00+08:00,2018-09-30T23:59:00+08:00,WEB,True,690a1be2-8c3e-4897-845d-d16e04eb2162,blueenergy,2018/10/08,D54AE516-C044-4556-9371-2A9732C4B03B,COAL HIGH SULFUR,50000.0,50000.0,3acfbadf-9111-4444-a40f-95a8cb54090f,2018-09-25T12:00:00+08:00,2018-09-25T12:00:00+08:00,,2018-09-25T12:00:00+08:00,2018-09-25T12:00:00+08:00,,2018-10-01T12:00:00+08:00,2018-10-01T12:00:00+08:00,2018-10-01T12:00:00+08:00,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,True,4223c6cb-2b35-4911-a37d-0ee8458e7639,2018-10-08T12:00:00+08:00,2018-10-08T12:00:00+08:00,,2018-10-08T12:00:00+08:00,2018-10-08T12:00:00+08:00,,2018-10-14T01:05:27+08:00,2018-10-14T01:05:27+08:00,2018-10-14T01:05:27+08:00,DISCHARGE,PHBTG,,Batangas,7be258eb-92e5-455d-8164-d38b77fd97ba,Asia/Manila,13.75,121.05,True,EDIT,True,True,2018-10-25T06:57:39.307Z,C***o S*****t,EDIT,True,True,,,,,
7,067b1bbb-992d-42f3-8552-10b2e597dcb4,2020-06-18T03:00:02.54157Z,blueenergy,067b1bbb-992d-42f3-8552-10b2e597dcb4,,2020/09/12,,,blueenergy,Blue Energy,2020-08-27T00:00:00+08:00,2020-09-05T23:59:59+08:00,WEB,True,a5494c52-6fb5-4dc9-8012-a28dd9bd017d,blueenergy,2020/09/12,01E2611A-51AE-47C6-811A-EB9181BC38D5,COAL,50000.0,,d4035505-b7b4-4545-a786-c543ceb54e41,2020-08-31T12:00:00+08:00,,,2020-08-31T12:00:00+08:00,,,2020-09-02T12:00:00+08:00,,,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,False,62bc89ed-8fdb-4054-8137-e13de21a4fbb,2020-09-12T12:00:00+08:00,,,2020-09-12T12:00:00+08:00,,,2020-09-14T12:00:00+08:00,,,DISCHARGE,PHBTG,,Batangas,7be258eb-92e5-455d-8164-d38b77fd97ba,Asia/Manila,13.75,121.05,False,EDIT,False,False,2020-05-06T09:10:22.814698Z,D****l M*******n,EDIT,False,False,,,,,
8,06c9a8fc-b255-4901-86d2-c84ee7265732,2020-06-18T03:00:02.633696Z,blueenergy,06c9a8fc-b255-4901-86d2-c84ee7265732,,2019/06/23,9214147,Barcarena,blueenergy,Blue Energy,2019-06-09T00:00:00+08:00,2019-06-18T23:59:59+08:00,WEB,True,9a04b7b9-ecdf-4fc2-81d0-39837882e1da,blueenergy,2019/06/23,01E2611A-51AE-47C6-811A-EB9181BC38D5,COAL,75000.0,75000.0,9d9290a9-29bd-4b3c-8fdb-63902e9a2a0f,2019-06-13T12:00:00+08:00,,2019-06-13T12:00:00+08:00,2019-06-13T12:00:00+08:00,,2019-06-13T12:00:00+08:00,2019-06-18T12:00:00+08:00,2019-06-14T12:00:00+08:00,2019-06-14T12:00:00+08:00,LOAD,IDTAB,,Taboneo,8b72fa24-0eae-456e-b77f-18199da6f7b7,Asia/Makassar,-3.332106,114.55165,True,af573e8e-2802-421a-90d4-36f291164337,2019-06-23T12:00:00+08:00,2019-06-17T12:00:00+08:00,2019-06-17T12:00:00+08:00,2019-06-23T12:00:00+08:00,2019-06-17T12:00:00+08:00,2019-06-17T12:00:00+08:00,2019-06-28T06:00:00+08:00,2019-06-19T06:00:00+08:00,2019-06-19T06:00:00+08:00,DISCHARGE,PHMNL,,Manila,3f3bd91c-4b3f-4163-8546-0016e835307e,Asia/Manila,14.5995124,120.9842195,True,EDIT,True,True,2019-06-20T08:09:40.727201Z,D****l M*******n,EDIT,True,True,,,,,
9,0763b1a1-5f9f-4076-92bc-2fba036188b1,2020-06-18T03:00:02.544471Z,blueenergy,0763b1a1-5f9f-4076-92bc-2fba036188b1,,2018/03/15,9214135,Banasol,blueenergy,Blue Energy,2018-02-25T00:00:00+08:00,2018-03-06T23:59:00+08:00,WEB,True,6cd3d9ec-c729-4a60-89d8-3dc848a31123,blueenergy,2018/03/15,D54AE516-C044-4556-9371-2A9732C4B03B,COAL HIGH SULFUR,45000.0,45000.0,e961ec81-dccc-4c5a-9ea0-073c3f971277,2018-03-01T06:00:00+08:00,2018-03-01T06:00:00+08:00,,2018-03-01T06:00:00+08:00,2018-03-01T06:00:00+08:00,,2018-03-08T12:00:00+08:00,2018-03-08T12:00:00+08:00,2018-03-08T12:00:00+08:00,LOAD,IDSRI,,Samarinda,60c90dcd-4428-4982-abc3-0e1701b3e9a1,Asia/Makassar,-0.676663950351488,117.32276352233713,True,63efe991-98c6-47c6-9703-c3b997804b3e,2018-03-15T12:00:00+08:00,2018-03-15T12:00:00+08:00,,2018-03-15T12:00:00+08:00,2018-03-15T12:00:00+08:00,,2018-03-21T01:05:27+08:00,2018-03-21T01:05:27+08:00,2018-03-21T01:05:27+08:00,DISCHARGE,PHBTG,,Batangas,7be258eb-92e5-455d-8164-d38b77fd97ba,Asia/Manila,13.75,121.05,True,EDIT,True,True,2018-05-10T08:36:47.111Z,L*****e C********e,EDIT,True,True,,,,,
